,Symbol,Price_Start,Price_End
156,FDX.MX,1080.8541,2875.3472
157,FSLR.MX,1715.0,1094.0
158,GILD.MX,274.1758,1228.2252
159,GLW.MX,226.0549,551.9243
160,GOOGL.MX,208.0912,1268.9711
161,GPS.MX,268.1305,330.5394
162,HON.MX,516.6727,3319.9639
163,IBM.MX,1583.3573,2432.2729
164,IP.MX,249.7853,813.0584
165,JPM.MX,540.2579,2609.6328
166,KBH.MX,176.0336,659.6527
167,KO.MX,358.9676,1032.5986
168,LEN.MX,165.5394,1058.5782
169,LLY.MX,462.1461,2463.896
170,LVS.MX,208.8495,1317.807
171,MDTN.MX,533.6224,2145.6138
172,MGM.MX,125.6031,631.8123
173,MO.MX,245.3841,922.7372
174,MOS.MX,790.7384,355.9917
175,MS.MX,396.3812,957.6695
176,MU.MX,134.8649,998.9995
177,NUE.MX,556.3253,1057.8619
178,ODP.MX,834.2253,439.7802
179,ORCL.MX,289.2397,996.1901
180,BKNG.MX,1390.073,38869.1758
181,PHM.MX,128.9713,763.0685
182,PRU.MX,356.4415,1753.8137
183,QCOM.MX,564.232,1663.3015
184,RCL.MX,302.6998,2526.7061
185,SBUX.MX,152.6151,1646.9174
186,SCCO.MX,405.676,785.924
187,SLBN.MX,689.4384,742.2632
188,STLD.MX,231.7475,645.6404
189,T.MX,260.2042,552.5539
190,TGT.MX,597.1485,2410.1458
191,TJX.MX,118.1477,1157.8073
192,TRV.MX,633.0727,2546.2302
193,TXT.MX,257.0988,862.7301
194,UAA.MX,34.2125,402.01
195,UAL.MX,73.01,1715.0
196,UTSI.MX,105.3601,223.2
197,V.MX,278.2054,3537.2209
198,VLO.MX,225.2099,1756.0485
199,WFC.MX,341.2678,1001.947
200,WYNN.MX,801.9674,2646.8821
201,X.MX,737.8,213.7039
202,BCSN.MX,239.5421,174.3301
203,GNW.MX,153.489,87.0
204,HBCN.MX,547.9451,728.8592
205,LYGN.MX,73.5053,53.5408
206,SPGI.MX,416.3734,5129.6895
207,STZ.MX,154.2109,3564.425
208,TSMN.MX,135.4343,1083.1656
209,TX.MX,189.9989,414.0784
